DataYear	BuildingType	PrimaryPropertyType	YearBuilt	NumberofBuildings	NumberofFloors	PropertyGFATotal	PropertyGFAParking	PropertyGFABuilding(s)	LargestPropertyUseType	LargestPropertyUseTypeGFA	SecondLargestPropertyUseType	SecondLargestPropertyUseTypeGFA	ThirdLargestPropertyUseType	ThirdLargestPropertyUseTypeGFA	ENERGYSTARScore	SiteEUI(kBtu/sf)	SiteEUIWN(kBtu/sf)	SourceEUI(kBtu/sf)	SourceEUIWN(kBtu/sf)	SiteEnergyUse(kBtu)	SiteEnergyUseWN(kBtu)	SteamUse(kBtu)	Electricity(kBtu)	NaturalGas(kBtu)	DefaultData	ComplianceStatus	Latitude	Longitude	GHGEmissionsIntensity	TotalGHGEmissions	GFA	Age	SiteEnergyUse(kBtu)_log2p	TotalGHGEmissions_log2
2015	SPS-District K-12	Education	1957	1.0	1.0	130862	0	130862	Education	132060.0	noInfo	0.0	noInfo	0.0	65.0	44.7	57.4	81.3	97.8	5851209.0	7508759.0	0.0	2151598.0	3699700.0	Yes	Compliant	47.56301254	-122.3112112	1.55	211.49	130862.0	58	22.480303566753584	7.724445638975825
2015	SPS-District K-12	Education	1989	3.0	3.0	59955	0	59955	Education	59955.0	noInfo	0.0	noInfo	0.0	94.0	25.4	28.6	76.3	84.9	1521329.0	1711759.0	0.0	1424088.0	97300.0	Yes	Compliant	47.55446464	-122.2764003	0.15	15.1	6661.666666666667	26	20.536901699194072	3.9164766444377164
2015	SPS-District K-12	Education	1964	2.0	2.0	93218	0	93218	Education	93218.0	noInfo	0.0	noInfo	0.0	84.0	33.0	39.9	66.6	73.9	3072599.0	3718511.0	0.0	1426258.0	1646400.0	Yes	Compliant	47.6367344	-122.3589452	0.98	97.38	23304.5	51	21.551028534244775	6.605553595494403
2015	NonResidential	Lodging	2001	4.0	4.0	51390	0	51390	Lodging	51390.0	Other	0.0	noInfo	0.0	86.0	75.2	75.2	137.5	137.5	3864699.0	3864699.0	0.0	1438855.0	2425903.0	No	Compliant	47.73127184	-122.3462382	2.58	138.87	3211.875	14	21.881924997624267	7.117591158238323
2015	SPS-District K-12	Education	1963	2.0	2.0	131013	0	131013	Education	131909.0	noInfo	0.0	noInfo	0.0	88.0	29.9	33.1	59.4	62.8	3939221.0	4362064.0	0.0	1770594.0	2168700.0	Yes	Compliant	47.72465187	-122.3539331	0.92	127.52	32753.25	52	21.90947929353027	6.994579724215747
2015	SPS-District K-12	Education	1959	1.0	1.0	245587	0	245587	Education	245587.0	noInfo	0.0	noInfo	0.0	95.0	42.5	49.3	77.4	85.7	10444297.0	12104908.0	0.0	3849657.0	6594800.0	Yes	Compliant	47.72595704	-122.3375948	1.47	377.09	245587.0	56	23.31621219099147	8.558765082121974
2015	NonResidential	Lodging	2002	3.0	3.0	69138	0	69138	Lodging	70609.0	noInfo	0.0	noInfo	0.0	75.0	46.7	47.1	104.7	106.0	3298570.0	3326526.0	0.0	1880991.0	1417657.0	Yes	Compliant	47.72527664	-122.3410974	1.16	88.4	7682.0	13	21.65340972782181	6.465974464504069
2015	NonResidential	Lodging	1904	5.0	5.0	190980	0	190980	Lodging	190980.0	Other	19051.0	noInfo	0.0	97.0	36.3	36.3	89.9	89.9	6935723.0	6935723.0	0.0	4727785.0	2208135.0	No	Compliant	47.60477066	-122.33677673	0.68	150.23	7639.2	111	22.72561505846151	7.231029128655405
2015	NonResidential	Healthcare	1954	5.0	5.0	285333	0	285333	Healthcare	302661.0	Other	148865.0	noInfo	0.0	28.0	209.4	221.3	442.9	450.1	63362516.0	66980332.0	0.0	32311985.0	31051872.0	No	Compliant	47.66742706	-122.37961578	6.08	1874.42	11413.32	61	25.9171263100977	10.872228537566727
2015	SPS-District K-12	Education	1991	2.0	2.0	55513	0	55513	Education	57904.0	noInfo	0.0	noInfo	0.0	91.0	28.1	32.0	88.4	100.4	1612965.0	1832205.0	0.0	1613032.0	0.0	Yes	Compliant	47.67031559	-122.3622592	0.08	11.24	13878.25	24	20.62128459731037	3.4905701304462013
